Number,Company,Symbol,YTD Return
286,Home Depot (The),HD,0.75
287,Apple Inc.,AAPL,0.75
288,Public Service Enterprise Group,PEG,0.31
289,Regions Financial Corporation,RF,0.26
290,Williams-Sonoma,WSM,0.10
291,Snap-on,SNA,0.08
292,Kinder Morgan,KMI,-0.07
293,TransDigm Group,TDG,-0.11
294,Southwest Airlines,LUV,-0.30
295,Moody's Corporation,MCO,-0.49
296,Iron Mountain,IRM,-0.50
297,Walt Disney Company (The),DIS,-0.61
298,Domino's,DPZ,-0.83
299,Lowe's,LOW,-0.85
300,Match Group,MTCH,-0.86
301,Union Pacific Corporation,UNP,-0.88
302,KeyCorp,KEY,-1.05
303,Arthur J. Gallagher & Co.,AJG,-1.19
304,Delta Air Lines,DAL,-1.42
305,Otis Worldwide,OTIS,-1.43
306,Illinois Tool Works,ITW,-1.70
307,Truist Financial,TFC,-1.80
308,Assurant,AIZ,-1.93
309,Paycom,PAYC,-2.09
310,CF Industries,CF,-2.12
311,Regency Centers,REG,-2.29
312,APA Corporation,APA,-2.47
313,Digital Realty,DLR,-2.59
314,Sherwin-Williams,SHW,-2.70
315,Lamb Weston,LW,-2.72
316,Amazon,AMZN,-2.89
317,Chubb Limited,CB,-2.93
318,Roper Technologies,ROP,-2.95
319,News Corp (Class B),NWS,-2.96
320,Devon Energy,DVN,-3.02
321,Hologic,HOLX,-3.11
322,Gen Digital,GEN,-3.14
323,Fifth Third Bancorp,FITB,-3.29
324,Charles River Laboratories,CRL,-3.29
325,J.B. Hunt,JBHT,-3.40
326,Aon,AON,-3.50
327,Zimmer Biomet,ZBH,-3.51
328,Everest Group,EG,-3.68
329,SBA Communications,SBAC,-3.70
330,Motorola Solutions,MSI,-3.73
331,M&T Bank,MTB,-3.90
332,Automatic Data Processing,ADP,-3.91
333,MetLife,MET,-4.18
334,Airbnb,ABNB,-4.19
335,J.M. Smucker Company (The),SJM,-4.38
336,"BXP, Inc.",BXP,-4.44
337,U.S. Bancorp,USB,-4.47
338,Lennar,LEN,-4.69
339,Huntington Bancshares,HBAN,-4.73
340,S&P Global,SPGI,-4.99
341,GE HealthCare,GEHC,-5.28
342,Elevance Health,ELV,-5.46
343,Las Vegas Sands,LVS,-5.49
344,News Corp (Class A),NWSA,-5.52
345,Interpublic Group of Companies (The),IPG,-5.82
346,Texas Instruments,TXN,-5.83
347,Progressive Corporation,PGR,-5.84
348,Dayforce,DAY,-6.03
349,Arch Capital Group,ACGL,-6.32
350,Starbucks,SBUX,-6.45
351,Masco,MAS,-6.48
352,Marriott International,MAR,-6.49
353,Biogen,BIIB,-6.49
354,"NVR, Inc.",NVR,-6.60
355,Kimco Realty,KIM,-6.79
356,PNC Financial Services,PNC,-6.97
357,Host Hotels & Resorts,HST,-7.08
358,Best Buy,BBY,-7.10
359,Kimberly-Clark,KMB,-7.33
360,Pfizer,PFE,-7.61
361,Synopsys,SNPS,-7.77
362,T. Rowe Price,TROW,-8.30
363,Healthpeak Properties,DOC,-8.49
364,Tyson Foods,TSN,-8.64
365,MGM Resorts,MGM,-8.86
366,Danaher Corporation,DHR,-8.93
367,Paccar,PCAR,-8.97
368,Henry Schein,HSIC,-8.99
369,Essex Property Trust,ESS,-9.05
370,"Workday, Inc.",WDAY,-9.22
371,Blackstone Inc.,BX,-9.34
372,W. W. Grainger,GWW,-9.40
373,Packaging Corporation of America,PKG,-9.68
374,Procter & Gamble,PG,-9.69
375,Paychex,PAYX,-9.74
376,Waters Corporation,WAT,-9.81
377,Omnicom Group,OMC,-9.90
378,Honeywell,HON,-10.15
379,Coterra,CTRA,-10.73
380,Marsh McLennan,MMC,-10.74
381,Invitation Homes,INVH,-10.79
382,Norwegian Cruise Line Holdings,NCLH,-10.84
383,MSCI,MSCI,-10.94
384,Equifax,EFX,-10.96
385,"Nike, Inc.",NKE,-10.97
386,Dover Corporation,DOV,-11.25
387,McCormick & Company,MKC,-11.41
388,"Block, Inc.",XYZ,-11.52
389,Zoetis,ZTS,-11.58
390,Federal Realty Investment Trust,FRT,-11.62
391,Ameriprise Financial,AMP,-11.68
392,Fortinet,FTNT,-11.69
393,Camden Property Trust,CPT,-11.75
394,Tyler Technologies,TYL,-12.32
395,Ball Corporation,BALL,-12.33
396,CDW,CDW,-12.41
397,Air Products,APD,-12.70
398,Keurig Dr Pepper,KDP,-12.73
399,Jack Henry & Associates,JKHY,-12.76
400,ConocoPhillips,COP,-12.80
401,Colgate-Palmolive,CL,-12.97
402,Equity Residential,EQR,-13.31
403,EOG Resources,EOG,-13.35
404,Amcor,AMCR,-13.39
405,International Paper,IP,-13.45
406,Equinix,EQIX,-13.68
407,Brown & Brown,BRO,-13.83
408,Fortive,FTV,-13.90
409,Cognizant,CTSH,-14.07
410,Bio-Techne,TECH,-14.12
411,Mid-America Apartment Communities,MAA,-14.15
412,Lennox International,LII,-14.17
413,Builders FirstSource,BLDR,-14.27
414,Dexcom,DXCM,-14.36
415,Intuitive Surgical,ISRG,-14.53
416,Ingersoll Rand,IR,-14.64
417,ServiceNow,NOW,-14.76
418,Merck & Co.,MRK,-14.77
419,Avery Dennison,AVY,-14.80
420,Pool Corporation,POOL,-14.88
421,Schlumberger,SLB,-14.89
422,PPG Industries,PPG,-14.97
423,AvalonBay Communities,AVB,-14.98
424,Skyworks Solutions,SWKS,-15.07
425,Prudential Financial,PRU,-15.07
426,Texas Pacific Land Corporation,TPL,-15.10
427,Diamondback Energy,FANG,-15.10
428,FedEx,FDX,-15.47
429,Stanley Black & Decker,SWK,-15.49
430,Church & Dwight,CHD,-15.50
431,Verisk Analytics,VRSK,-15.64
432,Corpay,CPAY,-15.65
433,DaVita,DVA,-15.83
434,HP Inc.,HPQ,-16.12
435,Weyerhaeuser,WY,-16.20
436,Revvity,RVTY,-16.30
437,Becton Dickinson,BDX,-16.65
438,ON Semiconductor,ON,-16.69
439,Targa Resources,TRGP,-16.71
440,"UDR, Inc.",UDR,-16.86
441,Kraft Heinz,KHC,-16.90
442,Occidental Petroleum,OXY,-17.22
443,Fidelity National Information Services,FIS,-17.23
444,West Pharmaceutical Services,WST,-17.39
445,Molson Coors Beverage Company,TAP,-17.43
446,Carrier Global,CARR,-17.67
447,Halliburton,HAL,-18.09
448,LKQ Corporation,LKQ,-18.26
449,Viatris,VTRS,-18.31
450,PG&E Corporation,PCG,-18.63
451,Fair Isaac,FICO,-18.83
452,Regeneron Pharmaceuticals,REGN,-18.85
453,KKR,KKR,-20.49
454,IDEX Corporation,IEX,-20.54
455,Baxter International,BAX,-20.82
456,PayPal,PYPL,-21.02
457,Comcast,CMCSA,-21.29
458,Cooper Companies (The),COO,-21.71
459,Old Dominion,ODFL,-21.75
460,Copart,CPRT,-22.74
461,Bristol Myers Squibb,BMY,-22.86
462,Alexandria Real Estate Equities,ARE,-23.13
463,Smurfit WestRock,SW,-23.13
464,Erie Indemnity,ERIE,-23.18
465,Hormel Foods,HRL,-23.40
466,Global Payments,GPN,-23.77
467,Akamai Technologies,AKAM,-23.83
468,Zebra Technologies,ZBRA,-24.06
469,General Mills,GIS,-24.12
470,Brown–Forman,BF.B,-24.41
471,International Flavors & Fragrances,IFF,-24.60
472,Adobe Inc.,ADBE,-25.06
473,Charter Communications,CHTR,-26.14
474,Clorox,CLX,-26.29
475,Campbell Soup Company,CPB,-26.31
476,Apollo Global Management,APO,-26.51
477,Salesforce,CRM,-27.29
478,Kenvue,KVUE,-28.38
479,Edison International,EIX,-29.03
480,UnitedHealth Group,UNH,-29.51
481,Chipotle Mexican Grill,CMG,-30.58
482,United Parcel Service,UPS,-31.48
483,ONEOK,OKE,-32.18
484,Accenture,ACN,-32.24
485,Target Corporation,TGT,-32.80
486,Eastman Chemical Company,EMN,-32.90
487,Conagra Brands,CAG,-33.12
488,Molina Healthcare,MOH,-33.80
489,GoDaddy,GDDY,-34.77
490,Constellation Brands,STZ,-36.47
491,Align Technology,ALGN,-37.44
492,Moderna,MRNA,-37.45
493,LyondellBasell,LYB,-37.81
494,EPAM Systems,EPAM,-38.19
495,FactSet,FDS,-40.31
496,Fiserv,FI,-40.78
497,Centene Corporation,CNC,-41.78
498,Dow Inc.,DOW,-45.45
499,CarMax,KMX,-47.53
500,Deckers Brands,DECK,-50.85
501,Gartner,IT,-51.34
502,Lululemon Athletica,LULU,-56.22
503,"The Trade Desk, Inc.",TTD,-57.47
